Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Band Material (product.metafields.custom.band_material),Case Color (product.metafields.custom.case_color),Department (product.metafields.custom.department),Dial Color (product.metafields.custom.dial_color),Display (product.metafields.custom.display),Frame Color (product.metafields.custom.frame_color),Increased Price (product.metafields.custom.increased_price),Lug Width (product.metafields.custom.lug_width),Product Source URL (product.metafields.custom.product_source_url),Water Resistance (product.metafields.custom.water_resistance),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Band color (product.metafields.shopify.band-color),Barware material (product.metafields.shopify.barware-material),Case color (product.metafields.shopify.case-color),Clothing accessory material (product.metafields.shopify.clothing-accessory-material),Color (product.metafields.shopify.color-pattern),Connectivity technology (product.metafields.shopify.connectivity-technology),Dial color (product.metafields.shopify.dial-color),Dispenser type (product.metafields.shopify.dispenser-type),Eyewear frame design (product.metafields.shopify.eyewear-frame-design),Eyewear frame material (product.metafields.shopify.eyewear-frame-material),Eyewear lens material (product.metafields.shopify.eyewear-lens-material),Fabric (product.metafields.shopify.fabric),Hardware material (product.metafields.shopify.hardware-material),Knife type (product.metafields.shopify.knife-type),Lens polarization (product.metafields.shopify.lens-polarization),Lens type (product.metafields.shopify.lens-type),Lock type (product.metafields.shopify.lock-type),Material (product.metafields.shopify.material),Occasion (product.metafields.shopify.occasion),Optical frame design (product.metafields.shopify.optical-frame-design),Season (product.metafields.shopify.season),Target gender (product.metafields.shopify.target-gender),Wallet features (product.metafields.shopify.wallet-features),Watch accessory style (product.metafields.shopify.watch-accessory-style),Watch display (product.metafields.shopify.watch-display),Watch features (product.metafields.shopify.watch-features),Watch material (product.metafields.shopify.watch-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
museum-bangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260311_193522\images\museum-bangle-0608072-html\processed\0608072_11.webp,11,Museum Bangle_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
museum-bangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260311_193522\images\museum-bangle-0608072-html\processed\0608072_12.webp,12,Museum Bangle_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
museum-bangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260311_193522\images\museum-bangle-0608072-html\processed\0608072_13.webp,13,Museum Bangle_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
museum-bangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260311_193522\images\museum-bangle-0608072-html\processed\0608072_14.webp,14,Museum Bangle_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
museum-bangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260311_193522\images\museum-bangle-0608072-html\processed\0608072_15.webp,15,Museum Bangle_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heritage-1917,Heritage 1917,"A century in the making, The Heritage 1917 revives Movado’s Art Deco era square watch with clean geometry and stylized Arabic numerals. This petite 25mm x 34.10mm stainless steel watch features a cherry sunburst ombré dial, a cherry leather strap, and our flower motif stamped on the crown—an archival detail pulled from an early Movado design.<br><br><table style=""width:100%; border-collapse:collapse;""><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Brand</td><td style=""border:1px solid #ddd; padding:8px;"">Movado</td></tr></table><br><br>
<div><strong>Easy Returns</strong></div>
<p>This item can be returned within 7 days.&nbsp;<a href=""https://theluxurydirect.com/pages/return-refund-policy"" rel=""noopener"" target=""_blank"">View our return policy</a><br><br></p>
<div><strong>USA Shipping</strong></div>
<p>All of our items ship from the United States.&nbsp;<a href=""https://theluxurydirect.com/pages/shipping-policy"" rel=""noopener"" target=""_blank"">Learn more</a></p>
<div><br></div>
<div><br></div>
",Movado,Apparel & Accessories > Jewelry > Watches,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado",FALSE,Title,Default Title,,,,,,,,3650247,90,shopify,deny,manual,895.00,,TRUE,TRUE,,,,,,outputs\movado\listing\20260311_193522\images\heritage-1917-3650247-html\processed\3650247_1.webp,1,Heritage 1917_1,FALSE,,,,,Unisex,,,,,,https://www.movado.com/us/en/shop-watches/heritage-1917-3650247.html,,,,adults,,,,,,,,,,,,,,,,,,,,,,unisex,,,,,,,,,,,g,,,draft
heritage-1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260311_193522\images\heritage-1917-3650247-html\processed\3650247_2.webp,2,Heritage 1917_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heritage-1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260311_193522\images\heritage-1917-3650247-html\processed\3650247_3.webp,3,Heritage 1917_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heritage-1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260311_193522\images\heritage-1917-3650247-html\processed\3650247_4.webp,4,Heritage 1917_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heritage-1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260311_193522\images\heritage-1917-3650247-html\processed\3650247_5.webp,5,Heritage 1917_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heritage-1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260311_193522\images\heritage-1917-3650247-html\processed\3650247_6.webp,6,Heritage 1917_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heritage-1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260311_193522\images\heritage-1917-3650247-html\processed\3650247_7.webp,7,Heritage 1917_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heritage-1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260311_193522\images\heritage-1917-3650247-html\processed\3650247_8.webp,8,Heritage 1917_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heritage-1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260311_193522\images\heritage-1917-3650247-html\processed\3650247_9.webp,9,Heritage 1917_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heritage-1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260311_193522\images\heritage-1917-3650247-html\processed\3650247_10.webp,10,Heritage 1917_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heritage-1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260311_193522\images\heritage-1917-3650247-html\processed\3650247_11.webp,11,Heritage 1917_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heritage-1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260311_193522\images\heritage-1917-3650247-html\processed\3650247_12.webp,12,Heritage 1917_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heritage-1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260311_193522\images\heritage-1917-3650247-html\processed\3650247_13.webp,13,Heritage 1917_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heritage-1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260311_193522\images\heritage-1917-3650247-html\processed\3650247_14.webp,14,Heritage 1917_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heritage-1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260311_193522\images\heritage-1917-3650247-html\processed\3650247_15.webp,15,Heritage 1917_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heritage-1917,Heritage 1917,"A century in the making, The Heritage 1917 revives Movado’s Art Deco era square watch with refined geometry and stylized Arabic numerals. This 35mm x 45.20mm stainless steel watch features a vintage green sunburst ombré dial, a cognac leather strap, and an exhibition caseback.<br><br><table style=""width:100%; border-collapse:collapse;""><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Brand</td><td style=""border:1px solid #ddd; padding:8px;"">Movado</td></tr></table><br><br>
<div><strong>Easy Returns</strong></div>
<p>This item can be returned within 7 days.&nbsp;<a href=""https://theluxurydirect.com/pages/return-refund-policy"" rel=""noopener"" target=""_blank"">View our return policy</a><br><br></p>
<div><strong>USA Shipping</strong></div>
<p>All of our items ship from the United States.&nbsp;<a href=""https://theluxurydirect.com/pages/shipping-policy"" rel=""noopener"" target=""_blank"">Learn more</a></p>
<div><br></div>
<div><br></div>
",Movado,Apparel & Accessories > Jewelry > Watches,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado",FALSE,Title,Default Title,,,,,,,,3650253,90,shopify,deny,manual,895.00,,TRUE,TRUE,,,,,,outputs\movado\listing\20260311_193522\images\heritage-1917-3650253-html\processed\3650253_1.webp,1,Heritage 1917_1,FALSE,,,,,Unisex,,,,,,https://www.movado.com/us/en/shop-watches/heritage-1917-3650253.html,,,,adults,,,,,,,,,,,,,,,,,,,,,,unisex,,,,,,,,,,,g,,,draft
heritage-1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260311_193522\images\heritage-1917-3650253-html\processed\3650253_2.webp,2,Heritage 1917_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heritage-1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260311_193522\images\heritage-1917-3650253-html\processed\3650253_3.webp,3,Heritage 1917_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heritage-1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260311_193522\images\heritage-1917-3650253-html\processed\3650253_4.webp,4,Heritage 1917_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
