handle,title,sku,price,vendor,type,tags,source_url,first_seen,last_seen,run_count,status
tissot-gentleman-38mm,Tissot Gentleman 38mm,T165.807.11.041.00,850.00,Tissot,Watches,"Watches, Wristwatches, SwiftCommerce_Tissot, Men's Watches",https://www.tissotwatches.com/en-us/T1658071104100.html,20260421_150605,20260421_150605,1,active
tissot-pinarello-43mm,Tissot Pinarello 43mm,T162.408.97.061.00,1.775.00,Tissot,Watches,"Watches, Wristwatches, SwiftCommerce_Tissot, Men's Watches",https://www.tissotwatches.com/en-us/T1624089706100.html,20260421_150605,20260421_150605,1,active
tissot-visodate-39mm,Tissot Visodate 39mm,T157.407.16.031.00,850.00,Tissot,Watches,"Watches, Wristwatches, SwiftCommerce_Tissot",https://www.tissotwatches.com/en-us/T1574071603100.html,20260421_150605,20260421_150605,1,active
